time,x,y,speed
0.0,410.04,-173.98,0.0
0.1,410.04,-173.98,0.01
0.21,410.04,-173.98,0.02
0.32,410.04,-173.98,0.01
0.43,410.04,-173.98,0.0
0.54,410.04,-173.98,0.0
0.65,410.04,-173.98,0.0
0.76,410.04,-173.98,0.0
0.87,410.04,-173.98,0.0
0.98,410.04,-174.0,1.6
1.09,410.04,-174.06,2.63
1.2,410.04,-174.15,3.33
1.31,410.04,-174.27,4.18
1.42,410.04,-174.44,5.64
1.53,410.05,-174.63,6.49
1.64,410.05,-174.84,7.38
1.75,410.05,-175.09,8.42
1.86,410.05,-175.36,9.34
1.97,410.06,-175.65,9.8
2.08,410.06,-175.96,10.59
2.19,410.06,-176.29,11.06
2.3,410.07,-176.65,11.68
2.41,410.07,-177.02,12.3
2.52,410.08,-177.42,12.84
2.63,410.08,-177.82,13.26
2.74,410.08,-178.21,13.7
2.85,410.09,-178.66,14.15
2.96,410.09,-179.1,14.6
3.08,410.1,-179.54,14.8
3.19,410.1,-180.0,15.18
3.3,410.11,-180.48,15.48
3.41,410.11,-180.96,15.67
3.52,410.12,-181.44,16.02
3.63,410.12,-181.93,16.19
3.74,410.13,-182.44,16.55
3.85,410.13,-182.94,16.68
3.96,410.14,-183.45,16.98
4.07,410.14,-183.97,17.13
4.18,410.15,-184.5,17.42
4.29,410.16,-185.05,17.69
4.4,410.16,-185.59,17.79
4.51,410.17,-186.14,18.14
4.62,410.17,-186.69,18.11
4.73,410.18,-187.24,18.27
4.84,410.18,-187.8,18.38
4.95,410.19,-188.36,18.07
5.06,410.2,-188.91,18.06
5.17,410.2,-189.48,18.09
5.28,410.21,-190.03,18.09
5.39,410.21,-190.58,18.03
5.5,410.22,-191.13,18.34
5.61,410.22,-191.71,18.28
5.72,410.23,-192.27,18.21
5.83,410.24,-192.82,18.17
5.94,410.24,-193.37,18.04
6.05,410.25,-193.92,18.03
6.16,410.26,-194.47,18.02
6.27,410.26,-195.03,18.5
6.38,410.27,-195.6,18.09
6.49,410.27,-196.16,18.12
6.61,410.28,-196.71,18.08
6.72,410.28,-197.26,18.15
6.83,410.29,-197.82,18.55
6.94,410.29,-198.38,18.24
7.05,410.3,-198.94,18.36
7.15,410.3,-199.49,18.03
7.26,410.31,-200.04,18.35
7.37,410.31,-200.62,18.28
7.48,410.32,-201.17,18.05
7.6,410.33,-201.72,18.29
7.71,410.34,-202.28,18.07
7.81,410.34,-202.83,18.32
7.92,410.35,-203.39,18.04
8.03,410.35,-203.94,18.35
8.14,410.36,-204.5,18.06
8.25,410.36,-205.05,18.28
8.36,410.37,-205.6,18.22
8.47,410.37,-206.16,18.45
8.58,410.38,-206.72,18.08
8.69,410.39,-207.27,18.05
8.8,410.39,-207.83,18.37
8.91,410.4,-208.38,18.04
9.02,410.41,-208.93,18.44
9.13,410.41,-209.5,18.35
9.24,410.42,-210.05,18.04
9.35,410.42,-210.63,18.13
9.46,410.43,-211.18,18.33
9.57,410.43,-211.74,18.16
9.68,410.44,-212.28,18.14
9.79,410.44,-212.83,18.46
9.9,410.45,-213.41,18.44
10.01,410.46,-213.96,18.37
10.12,410.46,-214.52,18.15
10.23,410.47,-215.07,18.05
10.34,410.48,-215.62,18.07
10.45,410.48,-216.19,18.13
10.56,410.49,-216.74,18.08
10.68,410.49,-217.29,17.96
10.78,410.5,-217.84,18.18
10.89,410.5,-218.39,18.14
